A.S. 91040 v2,4.00 cr ,Social Studies 1.2 - Conduct a social inquiry,Social Science Studies,,10SST,Social Studies,Social Science
U.S. 24832 v1,5.00 cr ,"Open and draw out a coil of wire, tie knots, join wire, and prepare wire for transport and storage",Agriculture,,AGR6,Agriculture,Science
U.S. 24833 v1,3.00 cr ,"Identify and maintain fencing tools and equipment, and identify fencing construction materials and wire types",Agriculture,,AGR6,Agriculture,Science
U.S. 27602 v1,3.00 cr ,Ride a quad bike on flat terrain under close supervision,Agriculture,,AGR6,Agriculture,Science
U.S. 27608 v1,3.00 cr ,Drive a basic wheel tractor on flat terrain under close supervision,Agriculture,,AGR6,Agriculture,Science
U.S. 497 v7,3.00 cr ,Demonstrate knowledge of workplace health and safety requirements,Occupational Health and Safety,,AGR6,Agriculture,Science
U.S. 561 v4,2.00 cr ,"Install, dismantle, and store temporary electric fences",Agriculture,,AGR6,Agriculture,Science
U.S. 6400 v5,2.00 cr ,Manage first aid in emergency situations,Health Studies,,AGR6,Agriculture,Science
U.S. 6401 v5,1.00 cr ,Provide first aid,Health Studies,,AGR6,Agriculture,Science
U.S. 6402 v7,1.00 cr ,Provide resuscitation level 2,Health Studies,,AGR6,Agriculture,Science
U.S. 17593 v3,4.00 cr ,Apply safe work practices in the workplace,Occupational Health and Safety,,AGR7,Agriculture,Science
U.S. 19053 v3,3.00 cr ,Ride a motorcycle on flat terrain,Agriculture,,AGR7,Agriculture,Science
U.S. 19054 v3,3.00 cr ,Ride a motorcycle on hilly terrain,Agriculture,,AGR7,Agriculture,Science
U.S. 19055 v3,3.00 cr ,Ride a motorcycle with mounted equipment or a load,Agriculture,,AGR7,Agriculture,Science
U.S. 23540 v1,5.00 cr ,"Demonstrate knowledge of hazards, hazard control, and the consequences of injury in a rural workplace",Agriculture,,AGR7,Agriculture,Science
U.S. 23542 v1,4.00 cr ,"Identify factors, and describe how to manage factors, that contribute to injury in a rural workplace",Agriculture,,AGR7,Agriculture,Science
U.S. 24555 v2,3.00 cr ,Demonstrate knowledge of the safe operation of a motorcycle,Agriculture,,AGR7,Agriculture,Science
U.S. 24822 v1,4.00 cr ,Install wooden battens for fencing,Agriculture,,AGR7,Agriculture,Science
U.S. 24826 v1,3.00 cr ,Install and nail a rail panel,Agriculture,,AGR7,Agriculture,Science
U.S. 24832 v1,5.00 cr ,"Open and draw out a coil of wire, tie knots, join wire, and prepare wire for transport and storage",Agriculture,,AGR7,Agriculture,Science
U.S. 24836 v2,2.00 cr ,"Describe non-electric fences, fence support materials, and safe practices in fencing",Agriculture,,AGR7,Agriculture,Science
U.S. 24837 v1,3.00 cr ,Describe non-electric fence types and components,Agriculture,,AGR7,Agriculture,Science
U.S. 37 v5,6.00 cr ,Install fencing wire,Agriculture,,AGR7,Agriculture,Science
U.S. 561 v4,2.00 cr ,"Install, dismantle, and store temporary electric fences",Agriculture,,AGR7,Agriculture,Science
U.S. 6400 v5,2.00 cr ,Manage first aid in emergency situations,Health Studies,,AGR7,Agriculture,Science
U.S. 6401 v5,1.00 cr ,Provide first aid,Health Studies,,AGR7,Agriculture,Science
U.S. 6402 v7,1.00 cr ,Provide resuscitation level 2,Health Studies,,AGR7,Agriculture,Science
A.S. 90915 v1,6.00 cr ,Visual Arts 1.3 - Use drawing conventions to develop work in more than one field of practice,Visual Arts,,APD6,Photography and Design,Arts
A.S. 90916 v2,12.00 cr ,"Visual Arts 1.4 - Produce a body of work informed by established practice, which develops ideas, using a range of media",Visual Arts,External,APD6,Photography and Design,Arts
A.S. 90917 v2,4.00 cr ,Visual Arts 1.5 - Produce a finished work that demonstrates skills appropriate to cultural conventions,Visual Arts,,APD6,Photography and Design,Arts
A.S. 90994 v1,6.00 cr ,Media Studies 1.6 - Complete a media product from a design and plan using a specified range of conventions,Social Science Studies,,APD6,Photography and Design,Arts
A.S. 91017 v2,4.00 cr ,Art History 1.3 - Demonstrate understanding of links between context(s) and art works,Visual Arts,,APD6,Photography and Design,Arts
A.S. 91068 v3,6.00 cr ,Design and Visual Communication 1.35 - Undertake development of design ideas through graphics practice,Technology,,APD6,Photography and Design,Arts
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,APH7,Photography,Arts
A.S. 91307 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to photography,Visual Arts,,APH7,Photography,Arts
A.S. 91312 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to photography,Visual Arts,,APH7,Photography,Arts
A.S. 91317 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established photography practice,Visual Arts,,APH7,Photography,Arts
A.S. 91322 v1,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within photography,Visual Arts,External,APH7,Photography,Arts
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,APH7,Photography,Arts
A.S. 91442 v1,4.00 cr ,Photography 3.1 - Analyse methods and ideas from established photography practice,Visual Arts,,APH8,Art Photography,Arts
A.S. 91447 v1,4.00 cr ,Photography 3.2 - Use drawing to demonstrate understanding of conventions appropriate to photography,Visual Arts,,APH8,Art Photography,Arts
A.S. 91452 v1,4.00 cr ,Photography 3.3 - Systematically clarify ideas using drawing informed by established photography practice,Visual Arts,,APH8,Art Photography,Arts
A.S. 91457 v1,14.00 cr ,Photography 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within photography practice,Visual Arts,External,APH8,Art Photography,Arts
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,APH8,Art Photography,Arts
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,APH8,Art Photography,Arts
A.S. 90913 v3,4.00 cr ,Visual Arts 1.1 - Demonstrate understanding of art works from a Maori and another cultural context using art terminology,Visual Arts,,ARA6,Painting,Arts
A.S. 90914 v2,4.00 cr ,Visual Arts 1.2 - Use drawing methods and skills for recording information using wet and dry media,Visual Arts,,ARA6,Painting,Arts
A.S. 90915 v1,6.00 cr ,Visual Arts 1.3 - Use drawing conventions to develop work in more than one field of practice,Visual Arts,,ARA6,Painting,Arts
A.S. 90916 v2,12.00 cr ,"Visual Arts 1.4 - Produce a body of work informed by established practice, which develops ideas, using a range of media",Visual Arts,External,ARA6,Painting,Arts
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,ARA7,Painting,Arts
A.S. 91306 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to painting,Visual Arts,,ARA7,Painting,Arts
A.S. 91311 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to painting,Visual Arts,,ARA7,Painting,Arts
A.S. 91316 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established painting practice,Visual Arts,,ARA7,Painting,Arts
A.S. 91321 v1,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within painting,Visual Arts,External,ARA7,Painting,Arts
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,ARA7,Painting,Arts
A.S. 91441 v1,4.00 cr ,Painting 3.1 - Analyse methods and ideas from established painting practice,Visual Arts,,ARA8,Painting,Arts
A.S. 91442 v1,4.00 cr ,Photography 3.1 - Analyse methods and ideas from established photography practice,Visual Arts,,ARA8,Painting,Arts
A.S. 91446 v1,4.00 cr ,Painting 3.2 - Use drawing to demonstrate understanding of conventions appropriate to painting,Visual Arts,,ARA8,Painting,Arts
A.S. 91451 v1,4.00 cr ,Painting 3.3 - Systematically clarify ideas using drawing informed by established painting practice,Visual Arts,,ARA8,Painting,Arts
A.S. 91456 v1,14.00 cr ,Painting 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within painting practice,Visual Arts,External,ARA8,Painting,Arts
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,ARA8,Painting,Arts
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,ARA8,Painting,Arts
A.S. 91487 v1,4.00 cr ,Art History 3.6 - Examine the different values placed on art works,Visual Arts,,ARA8,Painting,Arts
A.S. 91183 v1,4.00 cr ,Art History 2.4 - Examine how media are used to create effects in art works,Visual Arts,,ARD7,Art Design,Arts
A.S. 91305 v1,4.00 cr ,Visual Arts 2.1 - Demonstrate an understanding of methods and ideas from established practice appropriate to design,Visual Arts,,ARD7,Art Design,Arts
A.S. 91310 v1,4.00 cr ,Visual Arts 2.2 - Use drawing methods to apply knowledge of conventions appropriate to design,Visual Arts,,ARD7,Art Design,Arts
A.S. 91315 v1,4.00 cr ,Visual Arts 2.3 - Develop ideas in a related series of drawings appropriate to established design practice,Visual Arts,,ARD7,Art Design,Arts
A.S. 91320 v1,12.00 cr ,Visual Arts 2.4 - Produce a systematic body of work that shows understanding of art making conventions and ideas within design,Visual Arts,External,ARD7,Art Design,Arts
A.S. 91325 v1,4.00 cr ,Visual Arts 2.5 - Produce a resolved work that demonstrates control of skills appropriate to cultural conventions,Visual Arts,,ARD7,Art Design,Arts
A.S. 91440 v1,4.00 cr ,Design 3.1 - Analyse methods and ideas from established design practice,Visual Arts,,ARD8,Art Design,Arts
A.S. 91445 v1,4.00 cr ,Design 3.2 - Use drawing to demonstrate understanding of conventions appropriate to design,Visual Arts,,ARD8,Art Design,Arts
A.S. 91450 v1,4.00 cr ,Design 3.3 - Systematically clarify ideas using drawing informed by established design practice,Visual Arts,,ARD8,Art Design,Arts
A.S. 91455 v1,14.00 cr ,Design 3.4 - Produce a systematic body of work that integrates conventions and regenerates ideas within design practice,Visual Arts,External,ARD8,Art Design,Arts
A.S. 91460 v1,4.00 cr ,Visual Arts 3.5 - Produce a resolved work that demonstrates purposeful control of skills appropriate to a visual arts cultural context,Visual Arts,,ARD8,Art Design,Arts
A.S. 91485 v1,4.00 cr ,Art History 3.4 - Examine the impact of media and processes on art works,Visual Arts,,ARD8,Art Design,Arts
U.S. 15408 v5,4.00 cr ,Describe motor vehicle safe motoring requirements and general locations of systems and components,Motor Industry,,AUT7,Automotive,Technology
U.S. 16113 v5,2.00 cr ,Demonstrate knowledge of safe working practices in an automotive workshop,Motor Industry,,AUT7,Automotive,Technology
U.S. 21683 v1,2.00 cr ,Demonstrate knowledge of MIG welding in the motor industry,Motor Industry,,AUT7,Automotive,Technology
U.S. 21684 v1,3.00 cr ,Use a MIG welding plant in the motor industry,Motor Industry,,AUT7,Automotive,Technology
U.S. 21857 v2,2.00 cr ,Identify the occupational areas and structure of the New Zealand Motor Industry,Motor Industry,,AUT7,Automotive,Technology
U.S. 26623 v1,4.00 cr ,Use number to solve problems,Core Generic,,AUT7,Automotive,Technology
U.S. 3856 v8,2.00 cr ,Identify emergency procedures in the motor and related industries,Motor Industry,,AUT7,Automotive,Technology
U.S. 4261 v4,3.00 cr ,Identify legal rights and obligations in relation to owning and operating a private motor vehicle,Core Generic,,AUT7,Automotive,Technology
U.S. 24352 v1,2.00 cr ,Demonstrate knowledge of and apply safe working practices in the construction of a BCATS project,Construction Trades,,BCF6,"Building, Construction and Furniture",Technology
U.S. 24355 v1,4.00 cr ,Demonstrate knowledge of construction and manufacturing materials used in BCATS projects,Construction Trades,,BCF6,"Building, Construction and Furniture",Technology
U.S. 24356 v1,8.00 cr ,Apply elementary workshop procedures and processes for BCATS projects,Construction Trades,,BCF6,"Building, Construction and Furniture",Technology
U.S. 25920 v1,3.00 cr ,Use joints for a BCATS project,Construction Trades,,BCF6,"Building, Construction and Furniture",Technology
U.S. 12927 v3,6.00 cr ,"Identify, select, maintain, and use hand tools for BCATS projects",Construction Trades,,BCF7,"Building, Construction and Furniture",Technology
U.S. 12932 v3,8.00 cr ,Construct timber garden furniture and items of basic construction equipment as a BCATS project,Construction Trades,,BCF7,"Building, Construction and Furniture",Technology
U.S. 24350 v1,6.00 cr ,"Identify, select, maintain, and use portable power tools for BCATS projects",Construction Trades,,BCF7,"Building, Construction and Furniture",Technology
A.S. 90925 v2,4.00 cr ,"Biology 1.1 - Carry out a practical investigation in a biological context, with direction",Science,,BIO6,Biology,Science
A.S. 90926 v2,3.00 cr ,Biology 1.2 - Report on a biological issue,Science,,BIO6,Biology,Science
A.S. 90927 v2,4.00 cr ,Biology 1.3 - Demonstrate understanding of biological ideas relating to micro-organisms,Science,External,BIO6,Biology,Science
A.S. 90928 v2,4.00 cr ,Biology 1.4 - Demonstrate understanding of biological ideas relating to the life cycle of flowering plants,Science,External,BIO6,Biology,Science
A.S. 90929 v3,3.00 cr ,Biology 1.5 - Demonstrate understanding of biological ideas relating to a mammal(s) as a consumer(s),Science,External,BIO6,Biology,Science
A.S. 90949 v2,4.00 cr ,Science 1.10 - Investigate life processes and environmental factors that affect them,Science,,BIO6,Biology,Science
A.S. 91153 v1,4.00 cr ,"Biology 2.1 - Carry out a practical investigation in a biology context, with supervision",Science,,BIO7,Biology,Science
A.S. 91154 v1,3.00 cr ,Biology 2.2 - Analyse the biological validity of information presented to the public,Science,,BIO7,Biology,Science
A.S. 91156 v1,4.00 cr ,Biology 2.4 - Demonstrate understanding of life processes at the cellular level,Science,External,BIO7,Biology,Science
A.S. 91157 v1,4.00 cr ,Biology 2.5 - Demonstrate understanding of genetic variation and change,Science,External,BIO7,Biology,Science
A.S. 91158 v1,4.00 cr ,"Biology 2.6 - Investigate a pattern in an ecological community, with supervision",Science,,BIO7,Biology,Science
A.S. 91159 v1,4.00 cr ,Biology 2.7 - Demonstrate understanding of gene expression,Science,External,BIO7,Biology,Science
A.S. 91160 v1,3.00 cr ,Biology 2.8 - Investigate biological material at the microscopic level,Science,,BIO7,Biology,Science
A.S. 91601 v1,4.00 cr ,"Biology 3.1 - Carry out a practical investigation in a biological context, with guidance",Science,,BIO8,Biology,Science
A.S. 91602 v1,3.00 cr ,Biology 3.2 - Integrate biological knowledge to develop an informed response to a socio-scientific issue,Science,,BIO8,Biology,Science
A.S. 91603 v1,5.00 cr ,Biology 3.3 - Demonstrate understanding of the responses of plants and animals to their external environment,Science,External,BIO8,Biology,Science
A.S. 91604 v1,3.00 cr ,Biology 3.4 - Demonstrate understanding of how an animal maintains a stable internal environment,Science,,BIO8,Biology,Science
A.S. 91606 v1,4.00 cr ,Biology 3.6 - Demonstrate understanding of trends in human evolution,Science,External,BIO8,Biology,Science
A.S. 91607 v1,3.00 cr ,Biology 3.7 - Demonstrate understanding of human manipulations of genetic transfer and its biological implications,Science,,BIO8,Biology,Science
A.S. 90840 v1,3.00 cr ,Business Studies 1.4 - Apply the marketing mix to a new or existing product,Business Operations and Development,,BUS6,Business Studies,Social Science
A.S. 90842 v1,6.00 cr ,Business Studies 1.6 - Carry out and review a product-based business activity within a classroom context with direction,Business Operations and Development,,BUS6,Business Studies,Social Science
A.S. 90981 v2,3.00 cr ,Accounting 1.6 - Make a financial decision for an individual or group,Accounting,,BUS6,Business Studies,Social Science
A.S. 90984 v2,5.00 cr ,Economics 1.2 - Demonstrate understanding of decisions a producer makes about production,Economic Theory and Practice,,BUS6,Business Studies,Social Science
A.S. 90846 v1,3.00 cr ,Business Studies 2.4 - Conduct market research for a new or existing product,Business Operations and Development,,BUS7,Business Studies,Social Science
A.S. 90848 v1,9.00 cr ,"Business Studies 2.6 - Carry out, review and refine a business activity within a community context with guidance",Business Operations and Development,,BUS7,Business Studies,Social Science
A.S. 91175 v1,4.00 cr ,Accounting 2.2 - Demonstrate understanding of accounting processing using accounting software,Accounting,,BUS7,Business Studies,Social Science
A.S. 90956 v2,5.00 cr ,Home Economics 1.1 - Demonstrate knowledge of an individual's nutritional needs,Health and Physical Education,,CFL6,Cooking For Life,Technology
A.S. 90959 v1,5.00 cr ,Home Economics 1.4 - Demonstrate knowledge of practices and strategies to address food handling issues,Health and Physical Education,,CFL6,Cooking For Life,Technology
A.S. 90961 v2,4.00 cr ,Home Economics 1.6 - Demonstrate understanding of how packaging information influences an individual's food choices and well-being,Health and Physical Education,External,CFL6,Cooking For Life,Technology
U.S. 10020 v4,2.00 cr ,Describe personal and environmental hygiene and safety practices in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10021 v4,3.00 cr ,Describe the basic needs of children in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10022 v4,3.00 cr ,Demonstrate knowledge of attachment patterns and short-term separation in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10023 v4,2.00 cr ,Describe transition situations in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10024 v4,3.00 cr ,Demonstrate knowledge of promoting the health and wellbeing of children in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10032 v4,2.00 cr ,Demonstrate knowledge of ethics in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 26707 v2,6.00 cr ,Describe the value of play and create resources for children's development and learning in an ECE service,Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 26712 v2,4.00 cr ,"Demonstrate knowledge of, and apply, age-related nutrition needs in providing food for a child in an ECE service",Early Childhood Education and Care,,CHC7,Child Care,Social Science
U.S. 10013 v4,2.00 cr ,"Explain the purpose, aspirations, structure, and relevance of the New Zealand Early Childhood Curriculum, Te Whariki",Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 10019 v4,4.00 cr ,Describe and contribute to safe practices and a safe environment for a child in an ECE service,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 10020 v4,2.00 cr ,Describe personal and environmental hygiene and safety practices in an ECE service,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 10026 v4,5.00 cr ,Demonstrate knowledge of the development and learning of children and its relevance to an ECE service,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 20406 v3,4.00 cr ,"Demonstrate knowledge of, and apply, effective communication with diverse whanau/families in an ECE service",Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 20407 v3,4.00 cr ,Demonstrate knowledge of cultural diversity in an ECE service,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 26715 v2,3.00 cr ,Describe professional image and demonstrate professional behaviours required of an early childhood educator,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 27145 v2,4.00 cr ,"Develop, implement, and evaluate a learning plan for children in an ECE service",Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 27146 v2,4.00 cr ,Demonstrate knowledge of organisations relevant to ECE services in Aotearoa/New Zealand,Early Childhood Education and Care,,CHD8,Child Development,Social Science
U.S. 6675 v3,6.00 cr ,Participate as a member of own community,Home and Life Sciences,,CHD8,Child Development,Social Science
A.S. 91161 v1,4.00 cr ,Chemistry 2.1 - Carry out quantitative analysis,Science,,CHE7,Chemistry,Science
A.S. 91162 v1,3.00 cr ,Chemistry 2.2 - Carry out procedures to identify ions present in solution,Science,,CHE7,Chemistry,Science
A.S. 91164 v1,5.00 cr ,"Chemistry 2.4 - Demonstrate understanding of bonding, structure, properties and energy changes",Science,External,CHE7,Chemistry,Science
A.S. 91165 v1,4.00 cr ,Chemistry 2.5 - Demonstrate understanding of the properties of selected organic compounds,Science,External,CHE7,Chemistry,Science
A.S. 91166 v1,4.00 cr ,Chemistry 2.6 - Demonstrate understanding of chemical reactivity,Science,External,CHE7,Chemistry,Science
A.S. 91167 v1,3.00 cr ,Chemistry 2.7 - Demonstrate understanding of oxidation-reduction,Science,,CHE7,Chemistry,Science
A.S. 91388 v1,3.00 cr ,Chemistry 3.2 - Demonstrate understanding of spectroscopic data in chemistry,Science,,CHE8,Chemistry,Science
A.S. 91389 v1,3.00 cr ,Chemistry 3.3 - Demonstrate understanding of chemical processes in the world around us,Science,,CHE8,Chemistry,Science
A.S. 91390 v1,5.00 cr ,Chemistry 3.4 - Demonstrate understanding of thermochemical principles and the properties of particles and substances,Science,External,CHE8,Chemistry,Science
A.S. 91391 v1,5.00 cr ,Chemistry 3.5 - Demonstrate understanding of the properties of organic compounds,Science,External,CHE8,Chemistry,Science
A.S. 91392 v1,5.00 cr ,Chemistry 3.6 - Demonstrate understanding of equilibrium principles in aqueous systems,Science,External,CHE8,Chemistry,Science
A.S. 91393 v1,3.00 cr ,Chemistry 3.7 - Demonstrate understanding of oxidation-reduction processes,Science,,CHE8,Chemistry,Science
U.S. 6345 v5,4.00 cr ,Analyse oxidation - reduction reactions,Science,,CHE8,Chemistry,Science
U.S. 8949 v4,4.00 cr ,Characterise the composition of acid and base solutions,Science,,CHE8,Chemistry,Science
A.S. 91200 v1,4.00 cr ,Classical Studies 2.1 - Examine ideas and values of the classical world,Social Science Studies,External,CLS7,Classical Studies,Social Science
A.S. 91201 v1,4.00 cr ,Classical Studies 2.2 - Examine the significance of features of work(s) of art in the classical world,Social Science Studies,External,CLS7,Classical Studies,Social Science
A.S. 91202 v1,4.00 cr ,Classical Studies 2.3 - Demonstrate understanding of a significant event in the classical world,Social Science Studies,,CLS7,Classical Studies,Social Science
A.S. 91204 v1,6.00 cr ,Classical Studies 2.5 - Demonstrate understanding of the relationship between aspects of the classical world and aspects of other cultures,Social Science Studies,,CLS7,Classical Studies,Social Science
A.S. 91394 v1,4.00 cr ,Classical Studies 3.1 - Analyse ideas and values of the classical world,Social Science Studies,External,CLS8,Classical Studies,Social Science
A.S. 91395 v1,4.00 cr ,Classical Studies 3.2 - Analyse the significance of a work(s) of art in the classical world,Social Science Studies,External,CLS8,Classical Studies,Social Science
A.S. 91396 v1,6.00 cr ,Classical Studies 3.3 - Analyse the impact of a significant historical figure on the classical world,Social Science Studies,External,CLS8,Classical Studies,Social Science
A.S. 91397 v1,6.00 cr ,Classical Studies 3.4 - Demonstrate understanding of significant ideology(ies) in the classical world,Social Science Studies,,CLS8,Classical Studies,Social Science
A.S. 91398 v1,6.00 cr ,Classical Studies 3.5 - Demonstrate understanding of the lasting influences of the classical world on other cultures across time,Social Science Studies,,CLS8,Classical Studies,Social Science
A.S. 90002 v5,6.00 cr ,Dance 1.2 - Perform dance sequences,Dance,,DNC6,Dance,Arts
A.S. 90005 v4,4.00 cr ,Dance 1.6 - Demonstrate knowledge of a dance genre or style,Dance,External,DNC6,Dance,Arts
A.S. 90858 v1,6.00 cr ,Dance 1.1 - Compose dance sequences for given briefs,Dance,,DNC6,Dance,Arts
A.S. 90859 v2,4.00 cr ,Dance 1.3 - Demonstrate ensemble skills in a dance,Dance,,DNC6,Dance,Arts
A.S. 90860 v2,4.00 cr ,Dance 1.4 - Demonstrate understanding of the elements of dance,Dance,,DNC6,Dance,Arts
A.S. 91205 v1,4.00 cr ,Dance 2.1 - Choreograph a group dance to communicate an intention,Dance,,DNC7,Dance,Arts
A.S. 91206 v1,4.00 cr ,Dance 2.2 - Choreograph a solo dance to communicate an intention,Dance,,DNC7,Dance,Arts
A.S. 91208 v1,4.00 cr ,Dance 2.4 - Perform a theatre dance to communicate understanding of the dance,Dance,,DNC7,Dance,Arts
A.S. 91209 v1,6.00 cr ,Dance 2.5 - Perform a repertoire of dance,Dance,,DNC7,Dance,Arts
A.S. 91211 v1,4.00 cr ,Dance 2.7 - Provide an interpretation of a dance performance with supporting evidence,Dance,External,DNC7,Dance,Arts
A.S. 91212 v1,4.00 cr ,Dance 2.8 - Demonstrate understanding of a dance genre or style in context,Dance,External,DNC7,Dance,Arts
A.S. 91588 v1,8.00 cr ,Dance 3.1 - Produce a dance to realise a concept,Dance,,DNC8,Dance,Arts
A.S. 91590 v1,4.00 cr ,Dance 3.3 - Perform a solo or duet dance,Dance,,DNC8,Dance,Arts
A.S. 91591 v1,4.00 cr ,Dance 3.4 - Perform a group dance,Dance,,DNC8,Dance,Arts
