A.S. 91205 v1,4.00 cr ,Dance 2.1 - Choreograph a group dance to communicate an intention,Dance,,DNC7,Arts,13
A.S. 91206 v1,4.00 cr ,Dance 2.2 - Choreograph a solo dance to communicate an intention,Dance,,DNC7,Arts,11
A.S. 91208 v1,4.00 cr ,Dance 2.4 - Perform a theatre dance to communicate understanding of the dance,Dance,,DNC7,Arts,10
A.S. 91209 v1,6.00 cr ,Dance 2.5 - Perform a repertoire of dance,Dance,,DNC7,Arts,11
A.S. 91211 v2,4.00 cr ,Dance 2.7 - Provide an interpretation of a dance performance with supporting evidence,Dance,External,DNC7,Arts,11
A.S. 91212 v2,4.00 cr ,Dance 2.8 - Demonstrate understanding of a dance genre or style in context,Dance,External,DNC7,Arts,
A.S. 91588 v1,8.00 cr ,Dance 3.1 - Produce a dance to realise a concept,Dance,,DNC8,Arts,7
A.S. 91590 v1,4.00 cr ,Dance 3.3 - Perform a solo or duet dance,Dance,,DNC8,Arts,6
A.S. 91591 v1,4.00 cr ,Dance 3.4 - Perform a group dance,Dance,,DNC8,Arts,7
A.S. 91593 v1,4.00 cr ,Dance 3.6 - Demonstrate understanding of dance performance practices,Dance,,DNC8,Arts,6
A.S. 91594 v1,4.00 cr ,Dance 3.7 - Analyse a dance performance,Dance,External,DNC8,Arts,8
A.S. 91595 v1,4.00 cr ,Dance 3.8 - Demonstrate understanding of the development of dance in Aotearoa/New Zealand,Dance,External,DNC8,Arts,
A.S. 90006 v5,4.00 cr ,Drama 1.1 - Apply drama techniques in a dramatic context,Drama,,DRA6,Arts,25
A.S. 90009 v5,5.00 cr ,Drama 1.6 - Perform an acting role in a scripted production,Drama,,DRA6,Arts,21
A.S. 90011 v6,4.00 cr ,Drama 1.7 - Demonstrate understanding of the use of drama aspects within live performance,Drama,External,DRA6,Arts,27
A.S. 90997 v1,5.00 cr ,Drama 1.2 - Devise and perform a drama,Drama,,DRA6,Arts,22
A.S. 90998 v2,4.00 cr ,Drama 1.3 - Demonstrate understanding of features of a drama/theatre form,Drama,External,DRA6,Arts,27
A.S. 90999 v2,4.00 cr ,Drama 1.4 - Use features of a drama/theatre form in a performance,Drama,,DRA6,Arts,19
A.S. 91000 v2,4.00 cr ,Drama 1.5 - Demonstrate understanding of a significant play,Drama,,DRA6,Arts,
A.S. 91213 v1,4.00 cr ,Drama 2.1 - Apply drama techniques in a scripted context,Drama,,DRA7,Arts,9
A.S. 91214 v1,5.00 cr ,Drama 2.2 - Devise and perform a drama to realise an intention,Drama,,DRA7,Arts,9
A.S. 91215 v2,4.00 cr ,Drama 2.3 - Discuss a drama or theatre form or period with reference to a text,Drama,External,DRA7,Arts,12
A.S. 91216 v2,4.00 cr ,Drama 2.4 - Use complex performance skills associated with a drama or theatre form or period,Drama,,DRA7,Arts,10
A.S. 91218 v1,5.00 cr ,Drama 2.6 - Perform a substantial acting role in a scripted production,Drama,,DRA7,Arts,
A.S. 91219 v2,4.00 cr ,"Drama 2.7 - Discuss drama elements, techniques, conventions and technologies within live performance",Drama,External,DRA7,Arts,11
A.S. 91512 v1,4.00 cr ,Drama 3.1 - Interpret scripted text to integrate drama techniques in performance,Drama,,DRA8,Arts,14
A.S. 91513 v1,5.00 cr ,Drama 3.2 - Devise and perform a drama to realise a concept,Drama,,DRA8,Arts,9
A.S. 91514 v2,4.00 cr ,Drama 3.3 - Interpret a text from a prescribed playwright to demonstrate knowledge of a theatre form or period,Drama,External,DRA8,Arts,8
A.S. 91517 v1,5.00 cr ,Drama 3.6 - Perform a substantial acting role in a significant production,Drama,,DRA8,Arts,
A.S. 91518 v1,4.00 cr ,Drama 3.7 - Demonstrate understanding of live drama performance,Drama,External,DRA8,Arts,9
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUP8,Arts,3
A.S. 91417 v1,4.00 cr ,Making Music 3.2 - Perform a programme of music as a featured soloist on a second instrument,Music,,MUP8,Arts,1
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUP8,Arts,3
A.S. 91419 v1,8.00 cr ,Making Music 3.4 - Communicate musical intention by composing three original pieces of music,Music,,MUP8,Arts,2
A.S. 91422 v1,4.00 cr ,Music Studies 3.7 - Analyse a substantial music work,Music,External,MUP8,Arts,3
A.S. 91423 v1,4.00 cr ,Music Studies 3.8 - Examine the influence of context on a substantial music work,Music,,MUP8,Arts,3
A.S. 91424 v1,4.00 cr ,Music Studies 3.9 - Create two arrangements for an ensemble,Music,,MUP8,Arts,
A.S. 91425 v1,6.00 cr ,Music Studies 3.10 - Research a music topic,Music,,MUP8,Arts,3
A.S. 91090 v2,6.00 cr ,Music 1.1 - Perform two pieces of music as a featured soloist,Music,,MUS6,Arts,16
A.S. 91091 v2,4.00 cr ,Music 1.2 - Demonstrate ensemble skills through performing a piece of music as a member of a group,Music,,MUS6,Arts,17
A.S. 91092 v2,6.00 cr ,Music 1.3 - Compose two original pieces of music,Music,,MUS6,Arts,16
A.S. 91093 v2,4.00 cr ,Music 1.4 - Demonstrate aural and theoretical skills through transcription,Music,External,MUS6,Arts,
A.S. 91094 v2,4.00 cr ,Music 1.5 - Demonstrate knowledge of conventions used in music scores,Music,External,MUS6,Arts,6
A.S. 91095 v2,6.00 cr ,Music 1.6 - Demonstrate knowledge of two music works from contrasting contexts,Music,,MUS6,Arts,9
A.S. 91270 v1,6.00 cr ,Making Music 2.1 - Perform two substantial pieces of music as a featured soloist,Music,,MUS7,Arts,11
A.S. 91271 v1,6.00 cr ,Making Music 2.4 - Compose two substantial pieces of music,Music,,MUS7,Arts,11
A.S. 91272 v1,4.00 cr ,Making Music 2.3 - Demonstrate ensemble skills by performing a substantial piece of music as a member of a group,Music,,MUS7,Arts,10
A.S. 91273 v1,4.00 cr ,Music Studies 2.8 - Devise an instrumentation for an ensemble,Music,,MUS7,Arts,7
A.S. 91274 v1,3.00 cr ,Making Music 2.2 - Perform a substantial piece of music as a featured soloist on a second instrument,Music,,MUS7,Arts,
A.S. 91275 v2,4.00 cr ,Making Music 2.5 - Demonstrate aural understanding through written representation,Music,External,MUS7,Arts,
A.S. 91276 v2,4.00 cr ,Music Studies 2.6 - Demonstrate knowledge of conventions in a range of music scores,Music,External,MUS7,Arts,
A.S. 91277 v2,6.00 cr ,Music Studies 2.7 - Demonstrate understanding of two substantial contrasting music works,Music,External,MUS7,Arts,10
A.S. 91278 v1,4.00 cr ,Music Studies 2.9 - Investigate an aspect of New Zealand music,Music,,MUS7,Arts,11
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUS8,Arts,3
A.S. 91417 v1,4.00 cr ,Making Music 3.2 - Perform a programme of music as a featured soloist on a second instrument,Music,,MUS8,Arts,
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUS8,Arts,2
A.S. 91419 v1,8.00 cr ,Making Music 3.4 - Communicate musical intention by composing three original pieces of music,Music,,MUS8,Arts,2
A.S. 91422 v1,4.00 cr ,Music Studies 3.7 - Analyse a substantial music work,Music,External,MUS8,Arts,3
A.S. 91423 v1,4.00 cr ,Music Studies 3.8 - Examine the influence of context on a substantial music work,Music,,MUS8,Arts,
A.S. 91424 v1,4.00 cr ,Music Studies 3.9 - Create two arrangements for an ensemble,Music,,MUS8,Arts,
A.S. 91425 v1,6.00 cr ,Music Studies 3.10 - Research a music topic,Music,,MUS8,Arts,3
A.S. 90989 v1,3.00 cr ,Media Studies 1.1 - Demonstrate understanding of how individuals interact with the media,Social Science Studies,,MUSPRO,Arts,13
A.S. 90993 v1,3.00 cr ,Media Studies 1.5 - Produce a design and plan for a media product using a specified range of conventions,Social Science Studies,,MUSPRO,Arts,14
A.S. 90994 v1,6.00 cr ,Media Studies 1.6 - Complete a media product from a design and plan using a specified range of conventions,Social Science Studies,,MUSPRO,Arts,15
A.S. 90996 v1,3.00 cr ,Media Studies 1.8 - Write media texts for a specific target audience,Social Science Studies,,MUSPRO,Arts,
A.S. 91090 v2,6.00 cr ,Music 1.1 - Perform two pieces of music as a featured soloist,Music,,MUSPRO,Arts,15
A.S. 91091 v2,4.00 cr ,Music 1.2 - Demonstrate ensemble skills through performing a piece of music as a member of a group,Music,,MUSPRO,Arts,15
A.S. 91092 v2,6.00 cr ,Music 1.3 - Compose two original pieces of music,Music,,MUSPRO,Arts,15
A.S. 91093 v2,4.00 cr ,Music 1.4 - Demonstrate aural and theoretical skills through transcription,Music,External,MUSPRO,Arts,
A.S. 91094 v2,4.00 cr ,Music 1.5 - Demonstrate knowledge of conventions used in music scores,Music,External,MUSPRO,Arts,
A.S. 91095 v2,6.00 cr ,Music 1.6 - Demonstrate knowledge of two music works from contrasting contexts,Music,,MUSPRO,Arts,
A.S. 91270 v1,6.00 cr ,Making Music 2.1 - Perform two substantial pieces of music as a featured soloist,Music,,MUSPRO,Arts,9
A.S. 91271 v1,6.00 cr ,Making Music 2.4 - Compose two substantial pieces of music,Music,,MUSPRO,Arts,10
A.S. 91272 v1,4.00 cr ,Making Music 2.3 - Demonstrate ensemble skills by performing a substantial piece of music as a member of a group,Music,,MUSPRO,Arts,9
A.S. 91273 v1,4.00 cr ,Music Studies 2.8 - Devise an instrumentation for an ensemble,Music,,MUSPRO,Arts,8
A.S. 91274 v1,3.00 cr ,Making Music 2.2 - Perform a substantial piece of music as a featured soloist on a second instrument,Music,,MUSPRO,Arts,
A.S. 91278 v1,4.00 cr ,Music Studies 2.9 - Investigate an aspect of New Zealand music,Music,,MUSPRO,Arts,3
A.S. 91416 v1,8.00 cr ,Making Music 3.1 - Perform two programmes of music as a featured soloist,Music,,MUSPRO,Arts,3
A.S. 91418 v1,4.00 cr ,Making Music 3.3 - Demonstrate ensemble skills by performing two substantial pieces of music as a member of a group,Music,,MUSPRO,Arts,6
U.S. 26623 v2,4.00 cr ,Use number to solve problems,Core Generic,,MUSPRO,Arts,
U.S. 26626 v2,3.00 cr ,Interpret statistical information for a purpose,Core Generic,,MUSPRO,Arts,
U.S. 26627 v2,3.00 cr ,Use measurement to solve problems,Core Generic,,MUSPRO,Arts,
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,DTE5,DigiTech,53
U.S. 25659 v2,2.00 cr ,Create a web page using a mark-up language with a text editor,Computing,,DTE5,DigiTech,41
A.S. 91045 v3,4.00 cr ,Generic Technology 1.2 - Use planning tools to guide the technological development of an outcome to address a brief,Technology,,DTE5E,DigiTech,3
A.S. 91071 v3,4.00 cr ,Digital Technologies 1.41 - Implement basic procedures to produce a specified digital information outcome,Technology,,DTE5E,DigiTech,26
A.S. 91073 v3,4.00 cr ,Digital Technologies 1.43 - Implement basic procedures to produce a specified digital media outcome,Technology,,DTE5E,DigiTech,24
A.S. 91076 v4,3.00 cr ,Digital Technologies 1.46 - Construct a basic computer program for a specified task,Technology,,DTE5E,DigiTech,24
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,DTE5E,DigiTech,26
U.S. 25655 v2,3.00 cr ,Create a website using a dedicated web-authoring tool to meet a set brief,Computing,,DTE5E,DigiTech,
U.S. 25659 v2,2.00 cr ,Create a web page using a mark-up language with a text editor,Computing,,DTE5E,DigiTech,26
A.S. 91045 v3,4.00 cr ,Generic Technology 1.2 - Use planning tools to guide the technological development of an outcome to address a brief,Technology,,DTE6,DigiTech,36
A.S. 91070 v3,3.00 cr ,Digital Technologies 1.40 - Demonstrate understanding of basic concepts of information management,Technology,External,DTE6,DigiTech,32
A.S. 91071 v3,4.00 cr ,Digital Technologies 1.41 - Implement basic procedures to produce a specified digital information outcome,Technology,,DTE6,DigiTech,39
A.S. 91073 v3,4.00 cr ,Digital Technologies 1.43 - Implement basic procedures to produce a specified digital media outcome,Technology,,DTE6,DigiTech,48
A.S. 91076 v4,3.00 cr ,Digital Technologies 1.46 - Construct a basic computer program for a specified task,Technology,,DTE6,DigiTech,48
U.S. 102 v6,3.00 cr ,Consolidate keyboarding skills and produce accurate text based documents,Business Administration,,DTE6,DigiTech,
U.S. 18734 v5,2.00 cr ,Create a web page using a template,Computing,,DTE6,DigiTech,32
U.S. 18743 v4,2.00 cr ,Produce a spreadsheet from instructions using supplied data,Computing,,DTE6,DigiTech,36
U.S. 25655 v2,3.00 cr ,Create a website using a dedicated web-authoring tool to meet a set brief,Computing,,DTE6,DigiTech,6
U.S. 25659 v2,2.00 cr ,Create a web page using a mark-up language with a text editor,Computing,,DTE6,DigiTech,15
U.S. 2792 v7,2.00 cr ,Produce simple desktop published documents using templates,Computing,,DTE6,DigiTech,42
A.S. 91354 v3,4.00 cr ,Generic Technology 2.1 - Undertake brief development to address an issue,Technology,,DTE7,DigiTech,
A.S. 91368 v2,6.00 cr ,Digital Technologies 2.41 - Implement advanced procedures to produce a specified digital information outcome with dynamically linked data,Technology,,DTE7,DigiTech,23
A.S. 91370 v3,4.00 cr ,Digital Technologies 2.43 - Implement advanced procedures to produce a specified digital media outcome,Technology,,DTE7,DigiTech,24
A.S. 91373 v2,3.00 cr ,Digital Technologies 2.46 - Construct an advanced computer program for a specified task,Technology,,DTE7,DigiTech,
U.S. 2784 v7,3.00 cr ,Create and use a computer spreadsheet to solve a problem,Computing,,DTE7,DigiTech,23
U.S. 2785 v7,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,DTE7,DigiTech,1
U.S. 2786 v7,3.00 cr ,Create and use a computer database to solve a problem,Computing,,DTE7,DigiTech,23
U.S. 2788 v8,5.00 cr ,Produce desktop published documents to meet a set brief,Computing,,DTE7,DigiTech,
U.S. 108 v6,5.00 cr ,Apply text processing skills to produce business documents,Business Administration,,DTE8,DigiTech,
U.S. 112 v6,5.00 cr ,Produce business or organisational information using word processing functions,Business Administration,,DTE8,DigiTech,
U.S. 12886 v6,6.00 cr ,Customise software features and create document templates for generic text and information management,Business Administration,,DTE8,DigiTech,
U.S. 12887 v6,6.00 cr ,Integrate text and images and manage multiple files for generic text and information management,Business Administration,,DTE8,DigiTech,
U.S. 2785 v7,5.00 cr ,Create a computer spreadsheet to provide a solution for organisation use,Computing,,DTE8,DigiTech,
U.S. 2787 v6,6.00 cr ,Create and use a computer database to provide a solution for organisation use,Computing,,DTE8,DigiTech,
U.S. 2789 v6,6.00 cr ,Produce desktop published documents for organisation use,Computing,,DTE8,DigiTech,
A.S. 91249 v2,4.00 cr ,Media Studies 2.2 - Demonstrate understanding of narrative in media texts,Social Science Studies,,MES7,DigiTech,21
A.S. 91251 v3,4.00 cr ,Media Studies 2.4 - Demonstrate understanding of an aspect of a media genre,Social Science Studies,External,MES7,DigiTech,10
A.S. 91252 v2,4.00 cr ,Media Studies 2.5 - Produce a design and plan for a developed media product using a range of conventions,Social Science Studies,,MES7,DigiTech,20
A.S. 91253 v3,6.00 cr ,Media Studies 2.6 - Complete a developed media product from a design and plan using a range of conventions,Social Science Studies,,MES7,DigiTech,16
A.S. 91255 v2,3.00 cr ,Media Studies 2.8 - Write developed media text for a specific target audience,Social Science Studies,,MES7,DigiTech,21
A.S. 91490 v1,4.00 cr ,Media Studies 3.1 - Demonstrate understanding of an aspect of a media industry,Social Science Studies,External,MES8,DigiTech,11
A.S. 91491 v1,3.00 cr ,Media Studies 3.2 - Demonstrate understanding of the meaning of a media text through different readings,Social Science Studies,,MES8,DigiTech,1
A.S. 91492 v1,3.00 cr ,Media Studies 3.3 - Demonstrate understanding of the media representation of an aspect of New Zealand culture or society,Social Science Studies,,MES8,DigiTech,
A.S. 91494 v1,4.00 cr ,Media Studies 3.5 - Produce a design for a media product that meets the requirements of a brief,Social Science Studies,,MES8,DigiTech,19
A.S. 91495 v1,6.00 cr ,Media Studies 3.6 - Produce a media product to meet the requirements of a brief,Social Science Studies,,MES8,DigiTech,16
A.S. 91496 v1,3.00 cr ,Media Studies 3.7 - Demonstrate understanding of a significant development in the media,Social Science Studies,,MES8,DigiTech,23
A.S. 91497 v1,3.00 cr ,Media Studies 3.8 - Write a media text to meet the requirements of a brief,Social Science Studies,,MES8,DigiTech,17
U.S. 111 v7,5.00 cr ,Use a word processor to produce documents for a business or organisation,Business Administration,,OTE7,DigiTech,18
U.S. 12884 v6,3.00 cr ,Create electronic documents and manage a file for generic text and information management,Business Administration,,OTE7,DigiTech,16
U.S. 12885 v6,4.00 cr ,Create and enhance electronic documents combining text and images for generic text and information management,Business Administration,,OTE7,DigiTech,2
U.S. 2784 v7,3.00 cr ,Create and use a computer spreadsheet to solve a problem,Computing,,OTE7,DigiTech,17
U.S. 2786 v7,3.00 cr ,Create and use a computer database to solve a problem,Computing,,OTE7,DigiTech,18
U.S. 2788 v8,5.00 cr ,Produce desktop published documents to meet a set brief,Computing,,OTE7,DigiTech,18
U.S. 6743 v7,2.00 cr ,Demonstrate an understanding of ergonomic principles for computer workstations,Computing,,OTE7,DigiTech,3
U.S. 108 v6,5.00 cr ,Apply text processing skills to produce business documents,Business Administration,,OTE8,DigiTech,23
U.S. 112 v6,5.00 cr ,Produce business or organisational information using word processing functions,Business Administration,,OTE8,DigiTech,18
